measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All ages,Malaria,Number,1998,843267.4969044428,1506784.3588462519,423908.9184327208
Deaths,Global,Both,All ages,Dengue,Number,1998,18454.487826461413,21506.28089474281,15660.884802248263
Deaths,Global,Both,All ages,Yellow fever,Number,1998,10139.565934968214,21804.21016897977,3869.8448478440578
Deaths,Global,Both,All ages,Rabies,Number,1998,20401.257225224523,26514.09081917298,14556.272332074657
Deaths,Global,Both,All ages,Cervical cancer,Number,2001,226578.21834793765,239194.68104135976,213397.4031523315
Deaths,Global,Both,All ages,Acute hepatitis B,Number,1999,51991.49582094549,65443.448013692025,40343.75911911749
Deaths,Global,Both,All ages,Malaria,Number,2000,858378.0496946115,1447617.4139548603,454278.52872349136
Deaths,Global,Both,All ages,Dengue,Number,2000,17389.27740649182,20549.009293119816,14413.075469958367
Deaths,Global,Both,All ages,Yellow fever,Number,2000,10264.730076034066,22457.28237354119,3898.419394228705
Deaths,Global,Both,All ages,Rabies,Number,2000,19273.265611311315,25549.402556788253,13531.19002520488
Deaths,Global,Both,All ages,Malaria,Number,2003,908818.8264862653,1469321.3408504298,499822.8228752202
Deaths,Global,Both,All ages,Dengue,Number,2003,19072.43472031498,22402.790448222015,15654.609685451029
Deaths,Global,Both,All ages,Yellow fever,Number,2003,9538.055184580038,20692.00793037081,3532.297748422624
Deaths,Global,Both,All ages,Rabies,Number,2003,17589.741328617576,23777.7901335622,11961.925731746016
Deaths,Global,Both,All ages,Cervical cancer,Number,2004,234667.96332322896,248310.23481630825,220025.97537796808
Deaths,Global,Both,All ages,Tuberculosis,Number,1994,1756164.998458239,1939250.152006805,1546293.1315771088
Deaths,Global,Both,All ages,Typhoid fever,Number,1994,184738.83756883457,310776.84807125194,90910.85899136418
Deaths,Global,Both,All ages,Meningitis,Number,1994,411653.5643332816,471015.1893582441,364221.8859537812
Deaths,Global,Both,All ages,Diphtheria,Number,1994,19066.81082487218,25615.00817742763,14275.175825421149
Deaths,Global,Both,All ages,Tetanus,Number,1994,141963.07797988312,184958.9916181137,83100.6650408248
Deaths,Global,Both,All ages,Measles,Number,1986,751421.2578629918,1486503.425334418,266264.5182432113
Deaths,Global,Both,All ages,Acute hepatitis B,Number,2001,50891.37182801767,64344.69410305254,39758.000152430424
Deaths,Global,Both,All ages,Acute hepatitis B,Number,2004,45238.48268388288,55386.88994094725,36208.59461211848
Deaths,Global,Both,All ages,Malaria,Number,2001,877387.806498699,1433253.9060287806,490765.3211155981
Deaths,Global,Both,All ages,Dengue,Number,2001,17853.684523470984,20858.955365852347,14786.63032906766
Deaths,Global,Both,All ages,Yellow fever,Number,2001,9916.503087715746,21235.36613519389,3782.5677860594155
Deaths,Global,Both,All ages,Rabies,Number,2001,18868.35824489761,25361.47509311208,13030.644361753906
Deaths,Global,Both,All ages,Malaria,Number,1999,859187.6110633773,1489033.6667769344,442487.40747648885
Deaths,Global,Both,All ages,Dengue,Number,1999,17055.14917363121,20154.459435846566,14314.269532511173
Deaths,Global,Both,All ages,Yellow fever,Number,1999,9784.99804909238,20729.72790779392,3754.0850578099353
Deaths,Global,Both,All ages,Rabies,Number,1999,19685.145630813444,25773.82578141034,13901.113176511839
Deaths,Global,Both,All ages,Cervical cancer,Number,2006,236865.50245540694,250187.0991350669,222123.09412760873
Deaths,Global,Both,All ages,Cervical cancer,Number,2005,236119.8346364813,248905.8779785986,221623.03160085436
Deaths,Global,Both,All ages,Measles,Number,2010,203222.66283106644,431625.3552107592,73405.5579252068
Deaths,Global,Both,All ages,Measles,Number,1990,678190.3769646165,1363702.339827777,252620.39201854315
Deaths,Global,Both,All ages,Cervical cancer,Number,2007,238245.76960725244,251510.97654362966,224244.2624013092
Deaths,Global,Both,All ages,Malaria,Number,2004,917634.6721302945,1448241.224557918,507086.00091330253
Deaths,Global,Both,All ages,Dengue,Number,2004,20591.095386759418,24172.20142733153,16763.34331245793
Deaths,Global,Both,All ages,Yellow fever,Number,2004,9766.198694015719,21165.985707076612,3565.233411418625
Deaths,Global,Both,All ages,Rabies,Number,2004,17930.23982806962,24184.700180889322,12046.619090471086
Deaths,Global,Both,All ages,Cervical cancer,Number,2008,240662.72637085218,254193.21740079767,225891.6251766798
Deaths,Global,Both,All ages,Acute hepatitis B,Number,2006,44063.11201691856,53175.82535548138,34896.221028671316
Deaths,Global,Both,All ages,Acute hepatitis B,Number,2005,44340.435714255385,54335.884061430304,35631.418490229276
Deaths,Global,Both,All ages,Measles,Number,1992,644853.6945805509,1319512.3127986216,232199.16500479003
Deaths,Global,Both,All ages,Measles,Number,1988,714548.8462367727,1428669.2766156122,258318.99605379763
Deaths,Global,Both,All ages,Malaria,Number,2005,901768.667844649,1453602.878176049,489033.40437234106
Deaths,Global,Both,All ages,Dengue,Number,2005,20750.7726762016,24652.530953989844,16688.610798362635
Deaths,Global,Both,All ages,Yellow fever,Number,2005,8742.625968997976,19109.78110308977,3319.3267088116086
Deaths,Global,Both,All ages,Rabies,Number,2005,18226.37195624436,24481.12994253014,12283.801090168814
Deaths,Global,Both,All ages,Acute hepatitis B,Number,2008,43212.81925556863,53371.06944640924,33867.52878238764
Deaths,Global,Both,All ages,Malaria,Number,2006,881631.5428458846,1406673.9293013026,506833.1937358673
Deaths,Global,Both,All ages,Dengue,Number,2006,21624.9978847728,25746.650226857233,17346.567263379788
Deaths,Global,Both,All ages,Yellow fever,Number,2006,8277.763324436872,18019.95006535282,3101.6261435213996
Deaths,Global,Both,All ages,Rabies,Number,2006,17942.407793178638,24167.061000437967,12174.936169801676
Deaths,Global,Both,All ages,Tuberculosis,Number,1991,1775017.444709666,1978111.8848137269,1545828.6675129407
Deaths,Global,Both,All ages,Typhoid fever,Number,1991,185358.94139226803,308643.62213152245,90870.57954601849
Deaths,Global,Both,All ages,Meningitis,Number,1991,417552.67374542105,478294.5845182384,370200.12893979705
Deaths,Global,Both,All ages,Diphtheria,Number,1991,22787.89285705887,30630.92418355321,17356.14159482585
Deaths,Global,Both,All ages,Tetanus,Number,1991,181796.6717446626,233172.74374235934,109120.64708584649
Deaths,Global,Both,All ages,Measles,Number,1994,624623.3525148454,1253623.0496778777,226154.19023624438
Deaths,Global,Both,All ages,Tuberculosis,Number,1987,1787284.3175006197,2032981.3496150442,1505737.059757523
Deaths,Global,Both,All ages,Typhoid fever,Number,1987,198356.47554218254,337987.42600367207,97525.23197584697
Deaths,Global,Both,All ages,Meningitis,Number,1987,427012.27628313913,491171.27849834226,374681.6955696577
Deaths,Global,Both,All ages,Diphtheria,Number,1987,38040.96085064211,51510.26958191617,29040.446922674964
Deaths,Global,Both,All ages,Tetanus,Number,1987,312311.86418696307,430249.7719568912,197506.0936162788
Deaths,Global,Both,All ages,Malaria,Number,2008,878628.054202139,1385535.62310823,520551.5070343219
Deaths,Global,Both,All ages,Dengue,Number,2008,23712.576138450455,28116.03579143662,18832.10533526107
